date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2016-08-26,sh.000025,1646.3640,1662.2580,1644.9750,1652.4780,885138608,5770159104.0000,0.003426,1,0.496500,,,,,
2016-08-29,sh.000025,1652.1400,1669.5690,1646.9790,1655.6910,1126034304,7414739200.0000,0.004358,1,0.194400,,,,,
2016-08-30,sh.000025,1658.2550,1661.8530,1650.1220,1655.0430,746762800,4905860096.0000,0.002890,1,-0.039100,,,,,
2016-08-31,sh.000025,1654.4930,1656.7900,1645.6800,1655.9970,711602704,4707240960.0000,0.002754,1,0.057600,,,,,
2016-09-01,sh.000025,1661.4900,1662.3290,1642.6070,1643.0760,951859008,6125146112.0000,0.003684,1,-0.780200,,,,,
2016-09-02,sh.000025,1642.0180,1660.2680,1639.5220,1657.6050,929671600,6071149824.0000,0.003598,1,0.884300,,,,,
2016-09-05,sh.000025,1658.7030,1664.4330,1648.0390,1650.3270,684260304,4606695424.0000,0.002648,1,-0.439100,,,,,
2016-09-06,sh.000025,1650.6100,1659.9520,1638.2520,1658.8460,821893904,5558848768.0000,0.003181,1,0.516200,,,,,
2016-09-07,sh.000025,1659.4950,1681.4860,1658.3210,1668.8330,1374396608,9625087488.0000,0.005319,1,0.602000,,,,,
2016-09-08,sh.000025,1667.1710,1670.8500,1658.7370,1665.0840,712972896,4928087552.0000,0.002750,1,-0.224600,,,,,
2016-09-09,sh.000025,1666.1200,1673.2570,1655.7750,1656.4360,826714800,5838365696.0000,0.003189,1,-0.519400,,,,,
2016-09-12,sh.000025,1637.4310,1651.2460,1610.6580,1648.7890,1684819904,11064889088.0000,0.006499,1,-0.461700,,,,,
2016-09-13,sh.000025,1642.2870,1644.3750,1623.5870,1634.1390,688512496,4748860416.0000,0.002656,1,-0.888500,,,,,
2016-09-14,sh.000025,1624.2220,1625.6970,1612.1490,1615.9960,622861808,4088429456.0000,0.002403,1,-1.110300,,,,,
2016-09-19,sh.000025,1617.6660,1629.2960,1617.6660,1623.9580,574934000,3808691088.0000,0.002218,1,0.492700,,,,,
2016-09-20,sh.000025,1623.9270,1625.0480,1616.3050,1619.2900,491881904,3410373712.0000,0.001897,1,-0.287400,,,,,
2016-09-21,sh.000025,1619.8950,1623.4440,1616.0620,1619.3310,413855296,2695812096.0000,0.001596,1,0.002500,,,,,
2016-09-22,sh.000025,1625.1330,1632.1490,1624.0030,1626.2240,586376608,3919641520.0000,0.002262,1,0.425700,,,,,
2016-09-23,sh.000025,1627.9390,1630.1280,1623.4940,1624.5720,565673104,3867275664.0000,0.002182,1,-0.101600,,,,,
2016-09-26,sh.000025,1622.1080,1622.2980,1596.3270,1597.1010,692115104,4529678080.0000,0.002670,1,-1.691000,,,,,
2016-09-27,sh.000025,1593.5800,1600.1200,1585.9150,1597.6940,562781408,3766814992.0000,0.002171,1,0.037100,,,,,
2016-09-28,sh.000025,1600.3230,1600.3230,1589.3970,1590.5070,375208800,2394792992.0000,0.001447,1,-0.449800,,,,,
2016-09-29,sh.000025,1592.6530,1602.6840,1592.6530,1595.8400,451293600,2850242032.0000,0.001741,1,0.335300,,,,,
2016-09-30,sh.000025,1595.6910,1600.7450,1594.4980,1597.7260,374831696,2397743984.0000,0.001446,1,0.118200,,,,,
2016-10-10,sh.000025,1608.9010,1621.9840,1607.6350,1621.6510,864896496,5256290816.0000,0.003331,1,1.497400,,,,,
2016-10-11,sh.000025,1622.0910,1636.3340,1618.3800,1635.7100,1025283600,5933736704.0000,0.003949,1,0.867000,,,,,
2016-10-12,sh.000025,1634.5960,1634.6060,1626.8260,1633.6820,845759904,4953384960.0000,0.003258,1,-0.124000,,,,,
2016-10-13,sh.000025,1632.5460,1651.2640,1630.2140,1650.9400,956849600,6369467648.0000,0.003686,1,1.056400,,,,,
2016-10-14,sh.000025,1647.7820,1677.1210,1644.4650,1676.1640,1786596896,11865739264.0000,0.006882,1,1.527900,,,,,
2016-10-17,sh.000025,1671.6310,1684.1770,1661.6450,1667.0410,1503832704,10429565696.0000,0.005793,1,-0.544300,,,,,
2016-10-18,sh.000025,1661.3760,1712.5780,1660.1160,1709.8880,2173854400,15460549888.0000,0.008373,1,2.570200,,,,,
2016-10-19,sh.000025,1707.5610,1726.3360,1706.4760,1715.9630,2019138800,14429356288.0000,0.007778,1,0.355300,,,,,
2016-10-20,sh.000025,1711.3450,1720.8120,1706.5310,1719.6440,1312295008,9402269696.0000,0.005055,1,0.214500,,,,,
2016-10-21,sh.000025,1716.7410,1772.3050,1715.7110,1762.1490,2748483408,19675347968.0000,0.010587,1,2.471700,,,,,
