date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-08-07,sh.601800,3.6191285800,3.6268783200,3.5958793600,3.6191285800,13736212,63985138.0000,2,1.179528,1,0.000000,6.543532,0.258211,7.891697,0.958490,0
2012-08-08,sh.601800,3.6113788400,3.6268783200,3.5958793600,3.6036291000,9055196,42197062.0000,2,0.777569,1,-0.428300,6.515509,0.257105,7.857900,0.954385,0
2012-08-09,sh.601800,3.6036291000,3.6423778000,3.5881296200,3.6268783200,14881214,69378631.0000,2,1.277849,1,0.645200,6.557544,0.258764,7.908596,0.960542,0
2012-08-10,sh.601800,3.6268783200,3.6501275400,3.6113788400,3.6268783200,14567789,68292121.0000,2,1.250936,1,0.000000,6.557544,0.258764,7.908596,0.960542,0
2012-08-13,sh.601800,3.6268783200,3.6346280600,3.5493809200,3.5571306600,14113738,65237720.0000,2,1.211946,1,-1.923100,6.431437,0.253788,7.756507,0.942070,0
2012-08-14,sh.601800,3.5571306600,3.5726301400,3.5106322200,3.5648804000,12006558,54971745.0000,2,1.031003,1,0.217900,6.445449,0.254341,7.773406,0.944123,0
2012-08-15,sh.601800,3.5571306600,3.5726301400,3.5338814400,3.5416311800,7423246,33965209.0000,2,0.637434,1,-0.652200,6.403414,0.252682,7.722710,0.937966,0
2012-08-16,sh.601800,3.5416311800,3.5648804000,3.5338814400,3.5571306600,5564643,25518120.0000,2,0.477836,1,0.437600,6.431437,0.253788,7.756507,0.942070,0
2012-08-17,sh.601800,3.5571306600,3.6191285800,3.5493809200,3.6036291000,11691243,54057213.0000,2,1.003927,1,1.307200,6.515509,0.257105,7.857900,0.954385,0
2012-08-20,sh.601800,3.5803798800,3.5803798800,3.5493809200,3.5648804000,4960104,22809011.0000,2,0.425924,1,-1.075300,6.445449,0.254341,7.773406,0.944123,0
2012-08-21,sh.601800,3.5648804000,3.5881296200,3.5571306600,3.5803798800,8011640,36985200.0000,2,0.687959,1,0.434800,6.473473,0.255447,7.807203,0.948228,0
2012-08-22,sh.601800,3.5648804000,3.5803798800,3.5106322200,3.5261317000,9682762,44248526.0000,2,0.831459,1,-1.515200,6.375390,0.251576,7.688912,0.933861,0
2012-08-23,sh.601800,3.5261317000,3.5571306600,3.5183819600,3.5416311800,10227573,46721182.0000,2,0.878241,1,0.439600,6.403414,0.252682,7.722710,0.937966,0
2012-08-24,sh.601800,3.5338814400,3.5416311800,3.5028824800,3.5183819600,9169300,41618077.0000,2,0.787368,1,-0.656500,6.361378,0.251023,7.672014,0.931808,0
2012-08-27,sh.601800,3.4951327400,3.4951327400,3.4331348200,3.4408845600,12558054,56071420.0000,2,1.078360,1,-2.202600,6.221260,0.245494,7.503027,0.911284,0
2012-08-28,sh.601800,3.4331348200,3.4796332600,3.3943861200,3.4641337800,13458904,59671488.0000,2,1.155716,1,0.675700,6.263295,0.247153,7.553723,0.917441,0
2012-08-29,sh.601800,3.4486343000,3.4486343000,3.3788866400,3.3866363800,19467351,85532164.0000,2,1.671661,1,-2.237100,6.587804,0.251534,5.099109,0.896209,0
2012-08-30,sh.601800,3.3866363800,3.4021358600,3.3401379400,3.3556374200,14507540,62911266.0000,2,1.245762,1,-0.915331,6.527504,0.249231,5.052435,0.888006,0
2012-08-31,sh.601800,3.3478876800,3.3633871600,3.3091389800,3.3091389800,11921719,51217391.0000,2,1.023718,1,-1.385700,6.437054,0.245778,4.982424,0.875701,0
2012-09-03,sh.601800,3.3091389800,3.3401379400,3.2936395000,3.3091389800,14121001,60452733.0000,2,1.212570,1,0.000000,6.437054,0.245778,4.982424,0.875701,0
2012-09-04,sh.601800,3.3168887200,3.3246384600,3.1773934000,3.1851431400,31616753,131919701.0000,2,2.714930,1,-3.747100,6.195853,0.236568,4.795729,0.842888,0
2012-09-05,sh.601800,3.1696436600,3.2083923600,3.1463944400,3.1928928800,18027438,74086072.0000,2,1.548016,1,0.243300,6.210928,0.237144,4.807398,0.844939,0
2012-09-06,sh.601800,3.2083923600,3.2316415800,3.2083923600,3.2238918400,13090890,54372064.0000,2,1.124114,1,0.970900,6.271228,0.239446,4.854071,0.853142,0
2012-09-07,sh.601800,3.2781400200,3.4873830000,3.2781400200,3.4641337800,61793304,271166883.0000,2,5.306189,1,7.451900,6.738555,0.257290,5.215793,0.916717,0
2012-09-10,sh.601800,3.4486343000,3.5183819600,3.4176353400,3.4796332600,42760621,192295122.0000,2,3.671853,1,0.447400,6.768705,0.258441,5.239130,0.920819,0
2012-09-11,sh.601800,3.4641337800,3.4641337800,3.3943861200,3.4176353400,19867170,87456807.0000,2,1.705993,1,-1.781700,6.648105,0.253836,5.145782,0.904412,0
2012-09-12,sh.601800,3.4176353400,3.4563840400,3.3788866400,3.4253850800,13569203,59673160.0000,2,1.165187,1,0.226800,6.663180,0.254412,5.157451,0.906463,0
2012-09-13,sh.601800,3.4253850800,3.4253850800,3.3478876800,3.3556374200,15474354,67521280.0000,2,1.328782,1,-2.036200,6.527504,0.249231,5.052435,0.888006,0
2012-09-14,sh.601800,3.3788866400,3.3866363800,3.2936395000,3.3478876800,20643710,89026597.0000,2,1.772675,1,-0.230900,6.512429,0.248656,5.040766,0.885955,0
2012-09-17,sh.601800,3.3478876800,3.3788866400,3.2858897600,3.3013892400,18490948,79680229.0000,2,1.587817,1,-1.388900,6.421979,0.245202,4.970756,0.873650,0
2012-09-18,sh.601800,3.2858897600,3.3323882000,3.2626405400,3.3013892400,9945042,42361586.0000,2,0.853980,1,0.000000,6.421979,0.245202,4.970756,0.873650,0
2012-09-19,sh.601800,3.2936395000,3.3323882000,3.2936395000,3.3013892400,9696935,41408032.0000,2,0.832676,1,0.000000,6.421979,0.245202,4.970756,0.873650,0
2012-09-20,sh.601800,3.2936395000,3.3091389800,3.2083923600,3.2238918400,14840089,62059433.0000,2,1.274318,1,-2.347400,6.271228,0.239446,4.854071,0.853142,0
2012-09-21,sh.601800,3.2161421000,3.2548908000,3.2006426200,3.2238918400,12197603,50786304.0000,2,1.047408,1,0.000000,6.271228,0.239446,4.854071,0.853142,0
2012-09-24,sh.601800,3.2006426200,3.2238918400,3.1928928800,3.2083923600,11382947,47156826.0000,2,0.977453,1,-0.480800,6.241078,0.238295,4.830735,0.849040,0
2012-09-25,sh.601800,3.2006426200,3.2161421000,3.1463944400,3.1541441800,12976855,53150742.0000,2,1.114322,1,-1.690800,6.135552,0.234266,4.749055,0.834684,0
